IP-Address,Date-Time,Poll-Name,Poll-Response,Poll-Answer
98.195.154.181,11/24/2012 12:47:13 PM,A,12,35-41
98.195.154.181,11/24/2012 12:47:20 PM,A,38,35-41
98.195.154.181,11/24/2012 12:47:29 PM,B,22,38
98.195.154.181,11/24/2012 12:47:31 PM,B,38,38
98.195.154.181,11/24/2012 12:47:34 PM,B,47,38
98.195.154.181,11/24/2012 12:47:37 PM,B,62,38
98.195.154.181,11/24/2012 12:47:51 PM,A,67,35-41
98.195.154.181,11/24/2012 12:47:58 PM,A,38,35-41
98.195.154.181,11/24/2012 12:50:15 PM,A,53,35-41
98.195.154.181,11/24/2012 12:50:53 PM,A,87,35-41
98.195.154.181,11/24/2012 12:51:46 PM,A,79,35-41
98.195.154.181,11/24/2012 12:52:06 PM,A,34,35-41
98.195.154.181,11/24/2012 12:52:49 PM,B,62,38
98.195.154.181,11/24/2012 1:00:44 PM,A,53,35-41
98.195.154.181,11/24/2012 1:00:46 PM,A,7,35-41
98.195.154.181,11/24/2012 1:01:02 PM,B,38,38
